Current name,Current field,units,,To keep?,New name,New field,New units,Resolution,Long. Lat,Eastings Northings,Location,Project,Parameter,SuDS/GI type,All,,Weather,Rainfall,Outflow (drain gauge),Soil moisture/VWC,Soil temperature,Soil electrical conductivity,Soil tension/pressure,Water depth,Runoff simulator,Rel Humidity,Air temperature,Barometric pressure,Evapotranspiration,Wind,Wind direction,Wind speed,Power,Solar radiation,PLEXUS,Swale,UGDaMS,CACTUS,ACHILLES,Biochar,City wide,Green roof,NGIF other,Lysimeter,Ensemble,Swale,Green roof,Cell A,Cell B
GP2-10-68 (Ensemble F + Pavement),F2_SoilTemp(2)_600,deg C,,Y,Ensemble F,,,,"54.974420, -1.625937",,Ensemble F, ,Soil temperature,Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-68 (Ensemble F + Pavement),F2_SoilTemp(2)_800,deg C,,Y,Ensemble F,,,,"54.974420, -1.625938",,Ensemble F, ,Soil temperature,Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-68 (Ensemble F + Pavement),F2_SoilTemp_200,deg C,,Y,Ensemble F,,,,"54.974420, -1.625939",,Ensemble F, ,Soil temperature,Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-68 (Ensemble F + Pavement),F2_SoilTemp_400,deg C,,Y,Ensemble F,,,,"54.974420, -1.625940",,Ensemble F, ,Soil temperature,Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-68 (Ensemble F + Pavement),F2_SoilTemp_600,deg C,,Y,Ensemble F,,,,"54.974420, -1.625941",,Ensemble F, ,Soil temperature,Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-68 (Ensemble F + Pavement),F2_SoilTemp_800,deg C,,Y,Ensemble F,,,,"54.974420, -1.625942",,Ensemble F, ,Soil temperature,Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-68 (Ensemble F + Pavement),F2_Theta_200,%,,Y,Ensemble F,,,,"54.974420, -1.625943",,Ensemble F, ,Soil moisture (VWC),Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-68 (Ensemble F + Pavement),F2_Theta_400,%,,Y,Ensemble F,,,,"54.974420, -1.625944",,Ensemble F, ,Soil moisture (VWC),Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-68 (Ensemble F + Pavement),F2_Theta_600,%,,Y,Ensemble F,,,,"54.974420, -1.625945",,Ensemble F, ,Soil moisture (VWC),Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-68 (Ensemble F + Pavement),F2_Theta_800,%,,Y,Ensemble F,,,,"54.974420, -1.625946",,Ensemble F, ,Soil moisture (VWC),Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-68 (Ensemble F + Pavement),F3_ECb_200,mS.m-1,,Y,Ensemble F,,,,"54.974420, -1.625947",,Ensemble F, ,Soil electrical conductivity,Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-68 (Ensemble F + Pavement),F3_ECb_400,mS.m-1,,Y,Ensemble F,,,,"54.974420, -1.625948",,Ensemble F, ,Soil electrical conductivity,Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-68 (Ensemble F + Pavement),F3_ECb_600,mS.m-1,,Y,Ensemble F,,,,"54.974420, -1.625949",,Ensemble F, ,Soil electrical conductivity,Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-68 (Ensemble F + Pavement),F3_ECb_800,mS.m-1,,Y,Ensemble F,,,,"54.974420, -1.625950",,Ensemble F, ,Soil electrical conductivity,Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-68 (Ensemble F + Pavement),F3_Psi_200,kPa,,Y,Ensemble F,,,,"54.974420, -1.625951",,Ensemble F, ,Soil tension/pressure,Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-68 (Ensemble F + Pavement),F3_Psi_400,kPa,,Y,Ensemble F,,,,"54.974420, -1.625952",,Ensemble F, ,Soil tension/pressure,Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-68 (Ensemble F + Pavement),F3_Psi_600,kPa,,Y,Ensemble F,,,,"54.974420, -1.625953",,Ensemble F, ,Soil tension/pressure,Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-68 (Ensemble F + Pavement),F3_Psi_800,kPa,,Y,Ensemble F,,,,"54.974420, -1.625954",,Ensemble F, ,Soil tension/pressure,Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-68 (Ensemble F + Pavement),F3_SoilTemp(2)_200,deg C,,Y,Ensemble F,,,,"54.974420, -1.625955",,Ensemble F, ,Soil temperature,Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-68 (Ensemble F + Pavement),F3_SoilTemp(2)_400,deg C,,Y,Ensemble F,,,,"54.974420, -1.625956",,Ensemble F, ,Soil temperature,Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
